Function                                                                                                                                                                                                                                                                                                                                                                                         Module                     CPU Time  Spin Time  Overhead Time
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  -------------------------  --------  ---------  -------------
tiny_cnn::partial_connected_layer<tiny_cnn::activation::tan_h>::forward_propagation                                                                                                                                                                                                                                                                                                              cnn                         44.648s         0s             0s
_ZN8tiny_cnn4for_IZNS_23partial_connected_layerINS_10activation5tan_hEE16back_propagationERKSt6vectorIdSaIdEEmEUlRKN3tbb13blocked_rangeIiEEE0_EEvbiiT_                                                                                                                                                                                                                                           cnn                         36.190s         0s             0s
_ZZN8tiny_cnn23partial_connected_layerINS_10activation5tan_hEE16back_propagationERKSt6vectorIdSaIdEEmENKUlRKN3tbb13blocked_rangeIiEEE_clESD_                                                                                                                                                                                                                                                     cnn                         33.403s         0s             0s
__ieee754_exp                                                                                                                                                                                                                                                                                                                                                                                    libm-2.12.so                29.486s         0s             0s
_INTERNAL_27_______src_tbb_scheduler_cpp_3f34bbdd::__TBB_machine_pause                                                                                                                                                                                                                                                                                                                           libtbb.so.2                 26.923s         0s             0s
[Outside any known module]                                                                                                                                                                                                                                                                                                                                                                       [Unknown]                   13.423s         0s             0s
_ZN3tbb10interface78internal19partition_type_baseINS1_19auto_partition_typeEE7executeINS1_9start_forINS_13blocked_rangeIiEEZN8tiny_cnn5for_iIZNS9_36gradient_descent_levenberg_marquardt6updateERKSt6vectorIdSaIdEESG_RSE_EUliE_EEvbiT_EUlRKS8_E_KNS_16auto_partitionerEEES8_EEvRT_RT0_                                                                                                          cnn                          6.105s         0s             0s
exp                                                                                                                                                                                                                                                                                                                                                                                              libm-2.12.so                 4.536s         0s             0s
[TBB Scheduler Internals]                                                                                                                                                                                                                                                                                                                                                                        libtbb.so.2                  3.332s     3.332s             0s
vectorize::reduce<double>                                                                                                                                                                                                                                                                                                                                                                        cnn                          2.060s         0s             0s
[TBB Dispatch Loop]                                                                                                                                                                                                                                                                                                                                                                              libtbb.so.2                  1.593s         0s         1.593s
__GI_memset                                                                                                                                                                                                                                                                                                                                                                                      libc-2.12.so                 1.354s         0s             0s
tbb::interface7::internal::range_vector<tbb::blocked_range<int>, (unsigned char)8>::split_to_fill                                                                                                                                                                                                                                                                                                cnn                          1.306s         0s             0s
tbb::internal::rml::private_server::try_insert_in_asleep_list                                                                                                                                                                                                                                                                                                                                    libtbb.so.2                  1.277s         0s             0s
__finite                                                                                                                                                                                                                                                                                                                                                                                         libm-2.12.so                 1.210s         0s             0s
[TBB Scheduler Internals]                                                                                                                                                                                                                                                                                                                                                                        libtbb.so.2                  0.836s         0s         0.836s
tbb::internal::rml::private_worker::run                                                                                                                                                                                                                                                                                                                                                          libtbb.so.2                  0.696s         0s             0s
[TBB Scheduler Internals]                                                                                                                                                                                                                                                                                                                                                                        libtbb.so.2                  0.694s         0s         0.694s
tiny_cnn::partial_connected_layer<tiny_cnn::activation::tan_h>::back_propagation                                                                                                                                                                                                                                                                                                                 cnn                          0.656s         0s             0s
__sched_yield                                                                                                                                                                                                                                                                                                                                                                                    libc-2.12.so                 0.616s     0.616s             0s
tiny_cnn::activation::tan_h::df                                                                                                                                                                                                                                                                                                                                                                  cnn                          0.548s         0s             0s
tiny_cnn::partial_connected_layer<tiny_cnn::activation::tan_h>::back_propagation_2nd                                                                                                                                                                                                                                                                                                             cnn                          0.515s         0s             0s
[TBB Scheduler Internals]                                                                                                                                                                                                                                                                                                                                                                        libtbb.so.2                  0.459s     0.459s             0s
[TBB Scheduler Internals]                                                                                                                                                                                                                                                                                                                                                                        libtbb.so.2                  0.382s         0s         0.382s
_wordcopy_fwd_aligned                                                                                                                                                                                                                                                                                                                                                                            libc-2.12.so                 0.373s         0s             0s
[Import thunk exp]                                                                                                                                                                                                                                                                                                                                                                               cnn                          0.360s         0s             0s
[TBB Scheduler Internals]                                                                                                                                                                                                                                                                                                                                                                        libtbb.so.2                  0.303s         0s         0.303s
[TBB Scheduler Internals]                                                                                                                                                                                                                                                                                                                                                                        libtbb.so.2                  0.289s     0.289s             0s
[TBB Scheduler Internals]                                                                                                                                                                                                                                                                                                                                                                        libtbb.so.2                  0.274s         0s         0.274s
vectorize::dot<double>                                                                                                                                                                                                                                                                                                                                                                           cnn                          0.246s         0s             0s
tiny_cnn::fully_connected_layer<tiny_cnn::activation::tan_h, tiny_cnn::filter_none>::forward_propagation                                                                                                                                                                                                                                                                                         cnn                          0.241s         0s             0s
tbb::internal::arena::on_thread_leaving<(bool)0>                                                                                                                                                                                                                                                                                                                                                 libtbb.so.2                  0.225s         0s             0s
_INTERNAL_24_______src_tbb_market_cpp_3f34bbdd::__TBB_machine_pause                                                                                                                                                                                                                                                                                                                              libtbb.so.2                  0.224s         0s             0s
__pthread_getspecific                                                                                                                                                                                                                                                                                                                                                                            libpthread-2.12.so           0.194s     0.194s             0s
func@0xa380                                                                                                                                                                                                                                                                                                                                                                                      libittnotify_collector.so    0.175s         0s             0s
tbb::internal::binary_semaphore::P                                                                                                                                                                                                                                                                                                                                                               libtbb.so.2                  0.173s         0s             0s
vectorize::muladd<double>                                                                                                                                                                                                                                                                                                                                                                        cnn                          0.155s         0s             0s
[TBB Scheduler Internals]                                                                                                                                                                                                                                                                                                                                                                        libtbb.so.2                  0.151s         0s         0.151s
tbb::internal::arena::num_workers_active                                                                                                                                                                                                                                                                                                                                                         libtbb.so.2                  0.143s         0s             0s
[TBB Scheduler Internals]                                                                                                                                                                                                                                                                                                                                                                        libtbb.so.2                  0.127s         0s         0.127s
_ZN3tbb10interface78internal9start_forINS_13blocked_rangeIiEEZN8tiny_cnn5for_iIZNS5_36gradient_descent_levenberg_marquardt6updateERKSt6vectorIdSaIdEESC_RSA_EUliE_EEvbiT_EUlRKS4_E_KNS_16auto_partitionerEE7executeEv                                                                                                                                                                            cnn                          0.120s         0s             0s
tiny_cnn::layers::update_weights<tiny_cnn::gradient_descent_levenberg_marquardt>                                                                                                                                                                                                                                                                                                                 cnn                          0.116s         0s             0s
tbb::internal::market::arena_in_need                                                                                                                                                                                                                                                                                                                                                             libtbb.so.2                  0.109s         0s             0s
tbb::internal::task_stream<(int)3>::empty                                                                                                                                                                                                                                                                                                                                                        libtbb.so.2                  0.102s     0.102s             0s
tbb::spin_rw_mutex_v3::internal_acquire_reader                                                                                                                                                                                                                                                                                                                                                   libtbb.so.2                  0.096s     0.096s             0s
tbb::internal::mail_outbox::empty                                                                                                                                                                                                                                                                                                                                                                libtbb.so.2                  0.093s     0.093s             0s
tbb::internal::arena::process                                                                                                                                                                                                                                                                                                                                                                    libtbb.so.2                  0.092s         0s             0s
tbb::internal::machine_load_store_relaxed<unsigned long, (unsigned long)8>::load                                                                                                                                                                                                                                                                                                                 libtbb.so.2                  0.086s     0.086s             0s
tiny_cnn::fully_connected_layer<tiny_cnn::activation::tan_h, tiny_cnn::filter_none>::back_propagation                                                                                                                                                                                                                                                                                            cnn                          0.085s         0s             0s
tbb::internal::machine_load_store<long, (unsigned long)8>::store_with_release                                                                                                                                                                                                                                                                                                                    libtbb.so.2                  0.076s         0s             0s
tiny_cnn::parse_mnist_images                                                                                                                                                                                                                                                                                                                                                                     cnn                          0.067s         0s             0s
[TBB Scheduler Internals]                                                                                                                                                                                                                                                                                                                                                                        libtbb.so.2                  0.065s         0s         0.065s
__mul                                                                                                                                                                                                                                                                                                                                                                                            libm-2.12.so                 0.061s         0s             0s
tbb::internal::allocate_continuation_proxy::allocate                                                                                                                                                                                                                                                                                                                                             libtbb.so.2                  0.059s         0s             0s
syscall                                                                                                                                                                                                                                                                                                                                                                                          libc-2.12.so                 0.055s         0s             0s
tbb::task_group_context::is_group_execution_cancelled                                                                                                                                                                                                                                                                                                                                            libtbb.so.2                  0.053s         0s             0s
